Frame,center_x,center_y,width_px,height_px,angle_deg,diameter_px,source
0,162.308,172.105,44.0,49.0,132.977,49.0,auto
1,163.22189331054688,172.7389678955078,39.690208435058594,45.00108337402344,97.95196533203124,45.00108337402344,manual
2,162.327,172.488,44.0,50.0,133.157,50.0,auto
3,162.89108276367188,172.68658447265625,41.738914489746094,46.12520217895508,124.43496704101562,46.12520217895508,manual
4,163.330078125,171.51058959960938,41.30708312988281,47.55691146850586,125.05428314208984,47.55691146850586,manual
5,163.48104858398438,172.5171661376953,43.417442321777344,45.96023941040039,138.89012145996094,45.96023941040039,manual
6,162.32,172.024,43.0,50.0,131.657,50.0,auto
7,162.4888153076172,172.7577362060547,41.89786911010742,49.6053466796875,129.45953369140625,49.6053466796875,manual
8,161.8065185546875,172.6009063720703,40.358436584472656,51.07817077636719,126.0055694580078,51.07817077636719,manual
9,162.1094207763672,171.66781616210938,41.61404800415039,48.91807556152344,137.71929931640625,48.91807556152344,manual
10,162.01657104492188,171.8094940185547,41.75644302368164,48.92448425292969,128.65713500976562,48.92448425292969,manual
11,162.87400817871094,171.93276977539062,41.15447998046875,47.23859405517578,136.46559143066406,47.23859405517578,manual
12,161.66197204589844,171.7055206298828,38.42909240722656,46.83691787719727,133.83990478515625,46.83691787719727,manual
13,160.5397186279297,172.95860290527344,37.06340408325195,47.55418014526367,138.20208740234375,47.55418014526367,manual
14,161.72544860839844,171.2583770751953,37.23922729492188,45.30384826660156,130.82598876953125,45.30384826660156,manual
15,161.86265563964844,172.82179260253906,35.423526763916016,45.97579574584961,138.18832397460938,45.97579574584961,manual
16,161.48068237304688,171.6747283935547,38.30774688720703,43.68326187133789,126.9543228149414,43.68326187133789,manual
17,161.472,171.307,38.0,40.0,99.5673,40.0,auto
18,161.386,172.083,36.0,40.0,115.477,40.0,auto
19,163.575,170.226,30.0,38.0,125.723,38.0,auto
20,161.59,172.263,35.0,39.0,119.596,39.0,auto
21,162.754,169.792,29.0,38.0,120.283,38.0,auto
22,162.91,170.084,30.0,37.0,125.868,37.0,auto
23,163.173,169.592,29.0,37.0,128.478,37.0,auto
24,161.464,173.662,32.0,36.0,108.215,36.0,auto
25,161.756,173.701,33.0,37.0,108.171,37.0,auto
26,161.281,175.582,32.0,35.0,115.014,35.0,auto
27,161.068,176.034,32.0,36.0,119.342,36.0,auto
28,161.055,175.863,32.0,36.0,117.195,36.0,auto
29,161.331,176.195,33.0,35.0,114.91,35.0,auto
30,161.025,176.417,32.0,35.0,138.466,35.0,auto
31,161.255,176.858,33.0,35.0,157.899,35.0,auto
32,160.925,173.771,28.0,36.0,110.664,36.0,auto
33,161.1620330810547,175.8585662841797,31.923742294311523,36.33506393432617,134.58950805664062,36.33506393432617,manual
34,160.84242248535156,176.32492065429688,30.080856323242188,34.40348052978516,107.64866638183594,34.40348052978516,manual
35,160.557,175.404,29.0,36.0,96.7773,36.0,auto
36,161.795,174.666,27.0,35.0,103.576,35.0,auto
37,159.332,178.782,32.0,34.0,100.092,34.0,auto
38,158.35,177.995,29.0,36.0,83.6969,36.0,auto
39,155.16773986816406,183.860107421875,31.77369880676269,34.44926834106445,2.707329750061035,34.44926834106445,manual
40,154.5191650390625,183.82516479492188,32.96141815185547,33.86599349975586,171.6244659423828,33.86599349975586,manual
41,155.12509155273438,182.551986694336,31.994855880737305,36.63094711303711,148.93942260742188,36.63094711303711,manual
42,155.43174743652344,182.40542602539065,31.86918067932129,33.89314270019531,15.322524070739746,33.89314270019531,manual
43,155.11154174804688,183.2758026123047,32.90201568603516,35.27663803100586,50.27820587158203,35.27663803100586,manual
44,155.9757080078125,180.48501586914065,31.82867813110352,37.983646392822266,10.562779426574709,37.983646392822266,manual
45,155.3363494873047,180.92225646972656,32.7957878112793,36.40807723999024,167.2222442626953,36.40807723999024,manual
46,156.18702697753906,180.7454833984375,30.978775024414062,35.66835403442383,13.246192932128906,35.66835403442383,manual
47,154.92007446289062,181.0361175537109,31.732601165771484,36.75264739990234,24.86741828918457,36.75264739990234,manual
48,154.942,181.875,32.0,34.0,85.5002,34.0,auto
49,155.35040283203125,181.16995239257807,31.739591598510746,32.98796844482422,149.7641143798828,32.98796844482422,manual
50,156.18157958984375,179.38308715820312,33.226505279541016,34.85104751586914,72.40340423583984,34.85104751586914,manual
51,154.38613891601562,179.37530517578125,30.84693717956543,34.656455993652344,61.22429656982422,34.656455993652344,manual
52,155.3360137939453,179.76553344726562,31.303869247436523,33.164527893066406,1.0979751348495483,33.164527893066406,manual
53,154.79611206054688,180.4085998535156,33.35145950317383,33.8708381652832,129.86386108398438,33.8708381652832,manual
54,155.9000701904297,181.12399291992188,31.514028549194336,33.3032112121582,153.1032257080078,33.3032112121582,manual
55,155.60760498046875,180.9362030029297,30.33050537109375,33.42660903930664,143.9694366455078,33.42660903930664,manual
56,156.3094024658203,179.4295196533203,31.26717567443848,33.44600296020508,124.49844360351562,33.44600296020508,manual
57,156.30055236816406,178.82461547851562,31.005102157592773,35.384490966796875,135.25027465820312,35.384490966796875,manual
58,155.7084503173828,179.62013244628906,28.56258773803711,34.34005355834961,102.41594696044922,34.34005355834961,manual
59,156.20944213867188,180.19027709960932,29.756044387817383,32.419681549072266,25.5501651763916,32.419681549072266,manual
60,155.182,180.702,29.0,31.0,84.9606,31.0,auto
61,155.76239013671875,180.43463134765625,31.24942398071289,32.051048278808594,102.6424331665039,32.051048278808594,manual
62,154.188,180.063,30.0,31.0,134.847,31.0,auto
63,154.48,179.663,30.0,31.0,102.677,31.0,auto
64,154.495,179.687,30.0,31.0,101.237,31.0,auto
65,154.7432403564453,178.61936950683594,29.75690650939941,33.85063934326172,21.73635482788086,33.85063934326172,manual
66,155.12533569335938,178.2003936767578,30.599252700805664,34.02529525756836,11.926568031311035,34.02529525756836,manual
67,154.319,178.76,29.0,31.0,113.248,31.0,auto
68,157.60313415527344,174.1309051513672,28.07123565673828,33.68036651611328,3.628645896911621,33.68036651611328,manual
69,161.865,168.782,26.0,32.0,96.9249,32.0,auto
70,161.834,169.06,26.0,31.0,91.9277,31.0,auto
71,161.882,169.408,27.0,32.0,100.512,32.0,auto
72,161.964,167.984,28.0,32.0,103.528,32.0,auto
73,161.996,168.978,26.0,31.0,97.3955,31.0,auto
74,162.443,168.072,23.0,34.0,117.2,34.0,auto
75,162.996,170.528,27.0,32.0,100.123,32.0,auto
76,162.859,170.558,24.0,33.0,107.208,33.0,auto
77,162.859,170.558,24.0,33.0,107.208,33.0,auto
78,162.048,171.824,27.0,33.0,109.558,33.0,auto
79,162.554,170.021,23.0,33.0,113.155,33.0,auto
80,162.216,171.494,27.0,34.0,113.671,34.0,auto
81,161.862,171.13,27.0,34.0,112.666,34.0,auto
82,160.878,168.156,30.0,35.0,110.626,35.0,auto
83,160.878,168.156,30.0,35.0,110.626,35.0,auto
84,160.935,168.609,26.0,35.0,105.568,35.0,auto
85,160.594,168.168,27.0,34.0,101.726,34.0,auto
86,160.651,168.167,27.0,34.0,101.392,34.0,auto
87,160.558,167.793,27.0,35.0,109.159,35.0,auto
88,162.667,164.473,23.0,33.0,116.0,33.0,auto
89,162.71,167.506,25.0,32.0,115.991,32.0,auto
90,162.333,168.881,26.0,32.0,101.106,32.0,auto
91,162.407,167.961,24.0,34.0,115.723,34.0,auto
92,162.387,167.994,24.0,34.0,115.374,34.0,auto
93,162.373,167.399,24.0,33.0,113.862,33.0,auto
94,162.373,167.399,24.0,33.0,113.862,33.0,auto
95,162.216,167.987,27.0,33.0,115.246,33.0,auto
96,162.201,167.416,28.0,33.0,120.191,33.0,auto
97,161.892,167.994,27.0,33.0,109.329,33.0,auto
98,160.798,168.496,27.0,35.0,100.297,35.0,auto
99,161.843,167.247,25.0,34.0,113.466,34.0,auto
100,161.206,168.074,28.0,34.0,108.103,34.0,auto
101,160.729,168.011,27.0,35.0,109.824,35.0,auto
102,160.552,169.334,27.0,35.0,111.424,35.0,auto
103,161.788,172.559,27.0,32.0,99.2195,32.0,auto
104,161.051,171.611,28.0,35.0,111.456,35.0,auto
105,160.687,172.662,28.0,35.0,103.661,35.0,auto
106,160.566,172.669,28.0,35.0,102.525,35.0,auto
107,157.03497314453125,179.9803466796875,32.79732131958008,35.9327278137207,138.22915649414062,35.9327278137207,manual
108,155.76004028320312,179.34344482421875,34.04165267944336,36.46174240112305,82.21754455566406,36.46174240112305,manual
109,156.2926788330078,179.22657775878906,33.61899185180664,35.010684967041016,107.4578094482422,35.010684967041016,manual
110,156.5338592529297,177.65548706054688,33.93405532836914,35.717411041259766,147.77223205566406,35.717411041259766,manual
111,155.52793884277344,178.00379943847656,34.02440643310547,38.36754608154297,116.97052001953124,38.36754608154297,manual
112,155.98300170898438,176.54251098632812,35.72386169433594,36.98771667480469,101.84683227539062,36.98771667480469,manual
113,155.7615203857422,176.51071166992188,34.644325256347656,39.248531341552734,138.1812286376953,39.248531341552734,manual
114,156.24551391601562,178.24539184570312,33.293338775634766,37.395809173583984,1.2892597913742063,37.395809173583984,manual
115,157.0911102294922,177.69715881347656,33.37268829345703,35.73537063598633,69.80455017089844,35.73537063598633,manual
116,157.78237915039062,177.87094116210938,34.07350158691406,38.26286697387695,80.3325424194336,38.26286697387695,manual
117,157.864,177.426,35.0,38.0,63.5561,38.0,auto
118,156.87704467773438,177.81739807128906,33.68895721435547,37.29965972900391,171.75437927246094,37.29965972900391,manual
119,156.48609924316406,177.55340576171875,33.216705322265625,37.28668212890625,129.0192413330078,37.28668212890625,manual
120,156.42840576171875,177.6975555419922,32.604949951171875,38.24240112304688,93.23455810546876,38.24240112304688,manual
121,156.1907501220703,177.91746520996094,35.24327087402344,36.138301849365234,132.23519897460938,36.138301849365234,manual
122,155.28196716308594,176.59130859375,34.27964401245117,38.35326766967773,158.26657104492188,38.35326766967773,manual
123,156.2620391845703,177.8729248046875,33.86296081542969,36.1923942565918,97.0113296508789,36.1923942565918,manual
124,156.7152099609375,176.4402313232422,33.35921859741211,36.44413757324219,131.40904235839844,36.44413757324219,manual
125,155.99478149414062,177.73294067382812,33.223567962646484,36.28450775146485,126.72393035888672,36.28450775146485,manual
126,157.04531860351562,177.58168029785156,34.067195892333984,36.107666015625,32.660621643066406,36.107666015625,manual
127,151.465087890625,189.46665954589844,34.888118743896484,39.1765022277832,26.29054069519043,39.1765022277832,manual
128,152.09982299804688,189.83255004882807,32.8922233581543,36.92158126831055,17.02175521850586,36.92158126831055,manual
129,152.05323791503906,192.67027282714844,31.94286727905273,39.37395095825195,28.80863380432129,39.37395095825195,manual
130,152.40582275390625,191.24156188964844,33.091705322265625,37.806182861328125,14.2456636428833,37.806182861328125,manual
131,150.8671417236328,191.67271423339844,33.15489196777344,37.25226593017578,32.84599685668945,37.25226593017578,manual
132,150.99493408203125,192.0648193359375,34.45591735839844,36.97599792480469,53.378047943115234,36.97599792480469,manual
133,151.68614196777344,191.7745056152344,32.855709075927734,37.69681930541992,23.08067512512207,37.69681930541992,manual
134,151.27711486816406,192.0301513671875,35.341949462890625,39.58185958862305,14.032160758972168,39.58185958862305,manual
135,150.85276794433594,192.37322998046875,32.48883056640625,39.7737922668457,34.358360290527344,39.7737922668457,manual
136,151.4987030029297,191.1081695556641,33.1141471862793,40.83628463745117,11.113300323486328,40.83628463745117,manual
137,151.52450561523438,191.514389038086,32.525970458984375,37.97076416015625,50.403316497802734,37.97076416015625,manual
138,151.77174377441406,193.129623413086,35.23102569580078,41.33570861816406,51.05530548095703,41.33570861816406,manual
139,151.33029174804688,192.0233612060547,34.27353286743164,40.00416564941406,14.947065353393556,40.00416564941406,manual
140,149.86886596679688,194.560302734375,35.53118133544922,42.23500061035156,19.581615447998047,42.23500061035156,manual
141,150.9671173095703,194.5592803955078,34.49940490722656,38.91739273071289,31.12088394165039,38.91739273071289,manual
142,150.7069549560547,187.4664459228516,34.018245697021484,41.85215759277344,19.55897521972656,41.85215759277344,manual
143,151.09767150878906,187.3575592041016,35.52909851074219,40.38547897338867,11.918033599853516,40.38547897338867,manual
144,157.18142700195312,167.2938232421875,30.38833236694336,36.28388595581055,121.38347625732422,36.28388595581055,manual
145,158.2232208251953,166.34780883789062,30.29302024841309,36.92815780639648,114.74427032470705,36.92815780639648,manual
146,157.9639434814453,166.52932739257812,33.095645904541016,35.92023468017578,113.73202514648438,35.92023468017578,manual
147,156.61585998535156,167.75563049316406,28.65735244750977,38.3975715637207,119.75428009033205,38.3975715637207,manual
148,156.74818420410156,168.40579223632812,31.521039962768555,36.63090896606445,107.79839324951172,36.63090896606445,manual
149,157.78564453125,168.53285217285156,31.830934524536133,34.687015533447266,135.0362091064453,34.687015533447266,manual
150,158.323,168.763,30.0,36.0,92.5099,36.0,auto
151,157.83740234375,167.8953094482422,31.512794494628903,33.022361755371094,117.8251953125,33.022361755371094,manual
152,156.446,168.161,29.0,33.0,127.597,33.0,auto
153,156.607,168.027,30.0,33.0,127.152,33.0,auto
154,156.664,168.04,30.0,33.0,126.484,33.0,auto
155,157.635,167.998,30.0,35.0,109.362,35.0,auto
156,156.81610107421875,167.99041748046875,28.11809158325196,39.43369674682617,107.55597686767578,39.43369674682617,manual
157,157.00820922851562,168.4475860595703,28.144994735717773,37.10894393920898,119.99134826660156,37.10894393920898,manual
158,158.04090881347656,167.73191833496094,29.28302574157715,37.67856216430664,116.22325134277344,37.67856216430664,manual
159,158.3949737548828,168.5963897705078,29.999530792236328,34.96918869018555,116.01190948486328,34.96918869018555,manual
160,158.1427001953125,167.69216918945312,29.75431251525879,37.05752182006836,115.8233871459961,37.05752182006836,manual
161,157.75074768066406,167.01312255859375,32.30146026611328,37.86260986328125,114.4035186767578,37.86260986328125,manual
162,158.612,167.528,29.0,36.0,79.8112,36.0,auto
163,158.28286743164062,165.7109375,32.35616683959961,38.33282852172852,114.64996337890624,38.33282852172852,manual
